route,locale,page_type,keyword_status,keyword_score,primary_keyword,audit_scope,words,content_paragraphs,h1_count,h2_count,h3_count,image_count,missing_alt_count,internal_links,descriptive_internal_links,schema_types,search_intent_score,content_quality_score,experience_score,expertise_score,authority_score,trust_score,eeat_score,ai_citation_score,priority,issues,recommendations,title,h1,h2,file
/ar,ar,home,strong,85,أنظمة UAV صناعية,high_value_ar,1293,3,1,11,62,66,0,245,241,Organization | ContactPoint | WebSite,96,95,20,20,15,21,76,48,P1 需要补内容,,,أنظمة الطائرات بدون طيار الصناعية لعمليات الارتفاع المنخفض | N-TET,أنظمة UAV صناعية لعمليات المجال منخفض الارتفاع,حلولنا | مركز المنتجات | طائرة UAV لمراقبة المياه | مركز الحالات | من نحن | آخر الأخبار | حلولنا | مركز المنتجات,.next/server/app/ar.html
/ar/about,ar,about,partial,70,مكامل أنظمة UAV الصناعية,partial_keyword_page + high_value_ar,1669,20,1,5,22,23,0,191,188,Organization | ContactPoint | WebSite,100,100,20,20,15,21,76,52,P1 需要补内容,,,ملف مكامل أنظمة UAV الصناعية | N-TET,ملف مكامل أنظمة UAV الصناعية,قدرات تكامل أنظمة UAV الصناعية | فريق البحث والتطوير | نبذة عن الشركة | فريق البحث والتطوير | اطلب الحل وعرض السعر,.next/server/app/ar/about.html
/ar/accessories,ar,accessory_list,partial,60,ملحقات الطائرات بدون طيار,partial_keyword_page + high_value_ar,1367,8,1,11,79,76,0,245,242,Organization | ContactPoint | WebSite,100,100,20,20,15,21,76,60,P1 需要补内容,,,ملحقات الطائرات بدون طيار ومكونات UAV | N-TET,ملحقات ومكونات UAV,Drone Accessories and UAV Components for Industrial Platforms | وحدات التحكم بالطيران | محركات UAV | مراوح UAV | بطاريات UAV | حوامل كهروبصرية | محركات UAV | روابط بيانات UAV,.next/server/app/ar/accessories.html
/ar/accessories/fc-bt1,ar,accessory_detail,strong,100,بطارية UAV صلبة FC-BT1,full_inventory,2135,4,1,6,21,22,0,198,195,Organization | ContactPoint | WebSite | Product | BreadcrumbList | ListItem,100,100,25,25,15,25,90,92,P3 保持监测,,,بطارية UAV صلبة FC-BT1 | N-TET Drone Accessories,بطارية UAV صلبة FC-BT1,بطارية UAV صلبة FC-BT1 Technical Specifications | اطلب الحل وعرض السعر | نظرة عامة | المواصفات الفنية | اطلب الحل وعرض السعر | ????? ??? ???,.next/server/app/ar/accessories/fc-bt1.html
/ar/accessories/fc-bt2,ar,accessory_detail,strong,100,بطارية UAV صلبة FC-BT2,full_inventory,1993,4,1,6,21,22,0,198,195,Organization | ContactPoint | WebSite | Product | BreadcrumbList | ListItem,100,100,20,25,15,25,85,78,P3 保持监测,,,بطارية UAV صلبة FC-BT2 | N-TET Drone Accessories,بطارية UAV صلبة FC-BT2,بطارية UAV صلبة FC-BT2 Technical Specifications | اطلب الحل وعرض السعر | نظرة عامة | المواصفات الفنية | اطلب الحل وعرض السعر | ????? ??? ???,.next/server/app/ar/accessories/fc-bt2.html
/ar/accessories/fc-bt3,ar,accessory_detail,strong,100,بطارية UAV صلبة عالية الجهد FC-BT3,full_inventory,1765,4,1,6,21,22,0,198,195,Organization | ContactPoint | WebSite | Product | BreadcrumbList | ListItem,100,100,25,25,15,25,90,92,P3 保持监测,,,بطارية UAV صلبة عالية الجهد FC-BT3 | N-TET Drone Accessories,بطارية UAV صلبة عالية الجهد FC-BT3,بطارية UAV صلبة عالية الجهد FC-BT3 Technical Specifications | اطلب الحل وعرض السعر | نظرة عامة | المواصفات الفنية | اطلب الحل وعرض السعر | ????? ??? ???,.next/server/app/ar/accessories/fc-bt3.html
/ar/accessories/fc-bt4,ar,accessory_detail,strong,100,بطارية UAV صلبة عالية الطاقة FC-BT4,full_inventory,2623,4,1,6,21,22,0,198,195,Organization | ContactPoint | WebSite | Product | BreadcrumbList | ListItem,100,100,25,25,15,25,90,92,P3 保持监测,,,بطارية UAV صلبة عالية الطاقة FC-BT4 | N-TET Drone Accessories,بطارية UAV صلبة عالية الطاقة FC-BT4,بطارية UAV صلبة عالية الطاقة FC-BT4 Technical Specifications | اطلب الحل وعرض السعر | نظرة عامة | المواصفات الفنية | اطلب الحل وعرض السعر | ????? ??? ???,.next/server/app/ar/accessories/fc-bt4.html
/ar/accessories/fc-btg,ar,accessory_detail,strong,100,بطارية UAV تدريبية صلبة FC-BTG,full_inventory,1850,4,1,6,21,22,0,198,195,Organization | ContactPoint | WebSite | Product | BreadcrumbList | ListItem,100,100,25,25,15,25,90,92,P3 保持监测,,,بطارية UAV تدريبية صلبة FC-BTG | N-TET Drone Accessories,بطارية UAV تدريبية صلبة FC-BTG,بطارية UAV تدريبية صلبة FC-BTG Technical Specifications | اطلب الحل وعرض السعر | نظرة عامة | المواصفات الفنية | اطلب الحل وعرض السعر | ????? ??? ???,.next/server/app/ar/accessories/fc-btg.html
/ar/accessories/fc-c2d-propeller,ar,accessory_detail,strong,100,مروحة UAV FC-C2D,full_inventory,1844,4,1,6,21,22,0,198,195,Organization | ContactPoint | WebSite | Product | BreadcrumbList | ListItem,100,100,20,25,15,25,85,78,P3 保持监测,,,مروحة UAV FC-C2D | N-TET Drone Accessories,مروحة UAV FC-C2D,مروحة UAV FC-C2D Technical Specifications | اطلب الحل وعرض السعر | نظرة عامة | المواصفات الفنية | اطلب الحل وعرض السعر | ????? ??? ???,.next/server/app/ar/accessories/fc-c2d-propeller.html
/ar/accessories/fc-c2e-propeller,ar,accessory_detail,strong,100,مروحة UAV FC-C2E,full_inventory,1734,4,1,6,21,22,0,198,195,Organization | ContactPoint | WebSite | Product | BreadcrumbList | ListItem,100,100,20,25,15,25,85,78,P3 保持监测,,,مروحة UAV FC-C2E | N-TET Drone Accessories,مروحة UAV FC-C2E,مروحة UAV FC-C2E Technical Specifications | اطلب الحل وعرض السعر | نظرة عامة | المواصفات الفنية | اطلب الحل وعرض السعر | ????? ??? ???,.next/server/app/ar/accessories/fc-c2e-propeller.html
