route,locale,audit_status,audit_score,primary_keyword,seo_keywords,current_title,current_h1,current_h2,title_hit,description_hit,h1_hit,h2_hit,body_hit,keyword_density_pct,next_action
/es,es,strong,85,sistemas UAV industriales,sistemas UAV industriales | monitoreo de baja altitud | dron de inspección UAV | UAV de emergencia,Sistemas UAV industriales para operaciones de baja altitud | N-TET,Sistemas UAV industriales para operaciones de baja altitud,Nuestras soluciones | Centro de productos | UAV para monitoreo hídrico | Centro de casos | Acerca de nosotros | Últimas noticias | Nuestras soluciones | Centro de productos | Centro de casos | Acerca de nosotros | Últimas noticias,true,true,true,false,true,0.618,保持当前本地化关键词落地
/es/about,es,strong,100,fabricante UAV industrial,fabricante UAV industrial | proveedor de sistemas UAV | fabricante de monitoreo de baja altitud | fabricante de equipos de seguridad,Perfil de fabricante UAV industrial | N-TET,Perfil de fabricante UAV industrial,Capacidades como fabricante UAV industrial | Equipo de I+D | Perfil de la empresa | Equipo de I+D | Solicitar solución y cotización,true,true,true,true,true,0.235,保持当前本地化关键词落地
/es/accessories,es,strong,80,accesorios para drones,accesorios para drones | componentes UAV | gimbal UAV | motor UAV | enlace de datos UAV,Accesorios para drones y componentes UAV | N-TET,Accesorios para drones y componentes UAV,Controladores de vuelo | Motores UAV | Hélices UAV | Baterías UAV | Gimbals electro-ópticos | Motores UAV | Enlaces de datos UAV | Controles remotos UAV | Solicitar solución y cotización,true,true,true,false,true,4.027,保持当前本地化关键词落地
/es/accessories/fc-bt1,es,strong,85,Batería de estado sólido para UAV FC-BT1,Batería de estado sólido para UAV FC-BT1 | drone accessories | UAV components | industrial UAV parts,Batería de estado sólido para UAV FC-BT1 | N-TET Drone Accessories,Batería de estado sólido para UAV FC-BT1,Batería de estado sólido para UAV FC-BT1 Technical Specifications | Solicitar solución y cotización | Resumen | Especificaciones técnicas | Solicitar solución y cotización,true,false,true,true,true,0.181,保持当前本地化关键词落地
/es/accessories/fc-bt2,es,strong,85,Batería de estado sólido para UAV FC-BT2,Batería de estado sólido para UAV FC-BT2 | drone accessories | UAV components | industrial UAV parts,Batería de estado sólido para UAV FC-BT2 | N-TET Drone Accessories,Batería de estado sólido para UAV FC-BT2,Batería de estado sólido para UAV FC-BT2 Technical Specifications | Solicitar solución y cotización | Resumen | Especificaciones técnicas | Solicitar solución y cotización,true,false,true,true,true,0.207,保持当前本地化关键词落地
/es/accessories/fc-bt3,es,strong,85,Batería de estado sólido de alto voltaje para UAV FC-BT3,Batería de estado sólido de alto voltaje para UAV FC-BT3 | drone accessories | UAV components | industrial UAV parts,Batería de estado sólido de alto voltaje para UAV FC-BT3 | N-TET Drone Accessories,Batería de estado sólido de alto voltaje para UAV FC-BT3,Batería de estado sólido de alto voltaje para UAV FC-BT3 Technical Specifications | Solicitar solución y cotización | Resumen | Especificaciones técnicas | Solicitar solución y cotización,true,false,true,true,true,0.199,保持当前本地化关键词落地
/es/accessories/fc-bt4,es,strong,85,Batería de estado sólido de alta energía para UAV FC-BT4,Batería de estado sólido de alta energía para UAV FC-BT4 | drone accessories | UAV components | industrial UAV parts,Batería de estado sólido de alta energía para UAV FC-BT4 | N-TET Drone Accessories,Batería de estado sólido de alta energía para UAV FC-BT4,Batería de estado sólido de alta energía para UAV FC-BT4 Technical Specifications | Solicitar solución y cotización | Resumen | Especificaciones técnicas | Solicitar solución y cotización,true,false,true,true,true,0.134,保持当前本地化关键词落地
/es/accessories/fc-btg,es,strong,85,Batería de estado sólido para formación UAV FC-BTG,Batería de estado sólido para formación UAV FC-BTG | drone accessories | UAV components | industrial UAV parts,Batería de estado sólido para formación UAV FC-BTG | N-TET Drone Accessories,Batería de estado sólido para formación UAV FC-BTG,Batería de estado sólido para formación UAV FC-BTG Technical Specifications | Solicitar solución y cotización | Resumen | Especificaciones técnicas | Solicitar solución y cotización,true,false,true,true,true,0.261,保持当前本地化关键词落地
/es/accessories/fc-c2d-propeller,es,strong,85,Hélice UAV FC-C2D,Hélice UAV FC-C2D | drone accessories | UAV components | industrial UAV parts,Hélice UAV FC-C2D | N-TET Drone Accessories,Hélice UAV FC-C2D,Hélice UAV FC-C2D Technical Specifications | Solicitar solución y cotización | Resumen | Especificaciones técnicas | Solicitar solución y cotización,true,false,true,true,true,0.329,保持当前本地化关键词落地
/es/accessories/fc-c2e-propeller,es,strong,85,Hélice UAV FC-C2E,Hélice UAV FC-C2E | drone accessories | UAV components | industrial UAV parts,Hélice UAV FC-C2E | N-TET Drone Accessories,Hélice UAV FC-C2E,Hélice UAV FC-C2E Technical Specifications | Solicitar solución y cotización | Resumen | Especificaciones técnicas | Solicitar solución y cotización,true,false,true,true,true,0.338,保持当前本地化关键词落地
/es/accessories/fc-c2t-propeller,es,strong,85,Hélice UAV FC-C2T,Hélice UAV FC-C2T | drone accessories | UAV components | industrial UAV parts,Hélice UAV FC-C2T | N-TET Drone Accessories,Hélice UAV FC-C2T,Hélice UAV FC-C2T Technical Specifications | Solicitar solución y cotización | Resumen | Especificaciones técnicas | Solicitar solución y cotización,true,false,true,true,true,0.332,保持当前本地化关键词落地
/es/accessories/fc-c2u-propeller,es,strong,85,Hélice UAV FC-C2U,Hélice UAV FC-C2U | drone accessories | UAV components | industrial UAV parts,Hélice UAV FC-C2U | N-TET Drone Accessories,Hélice UAV FC-C2U,Hélice UAV FC-C2U Technical Specifications | Solicitar solución y cotización | Resumen | Especificaciones técnicas | Solicitar solución y cotización,true,false,true,true,true,0.336,保持当前本地化关键词落地
/es/accessories/fc-c2ud-propeller,es,strong,85,Hélice UAV FC-C2UD,Hélice UAV FC-C2UD | drone accessories | UAV components | industrial UAV parts,Hélice UAV FC-C2UD | N-TET Drone Accessories,Hélice UAV FC-C2UD,Hélice UAV FC-C2UD Technical Specifications | Solicitar solución y cotización | Resumen | Especificaciones técnicas | Solicitar solución y cotización,true,false,true,true,true,0.323,保持当前本地化关键词落地
/es/accessories/fc-fdj-111,es,strong,100,Motor UAV FC-FDJ-111,Motor UAV FC-FDJ-111 | drone accessories | UAV components | industrial UAV parts,Motor UAV FC-FDJ-111 | N-TET Drone Accessories,Motor UAV FC-FDJ-111,Motor UAV FC-FDJ-111 Technical Specifications | Solicitar solución y cotización | Resumen | Especificaciones técnicas | Solicitar solución y cotización,true,true,true,true,true,0.511,保持当前本地化关键词落地
