route,locale,canonical_english_route,page_type,compliance_tier,audit_status,audit_score,primary_keyword,keyword_count,meta_keywords,title_hit,description_hit,h1_hit,h2_hit,body_hit,keyword_density_pct,mapping_status,from_google_ads_keywords,mapped_clusters,mapped_cluster_rows,matched_business_groups,matched_ads_keywords,keyword_sources,planned_priority,planned_page_role,implementation_action,issues,title,description,file
/ar,ar,/en,home,normal,strong,85,أنظمة UAV صناعية,5,أنظمة UAV صناعية | أنظمة الطائرات بدون طيار الصناعية | مراقبة الارتفاعات المنخفضة | طائرة UAV للتفتيش | طائرة UAV للاستجابة الطارئة,true,true,true,false,true,0.309,not_mapped_to_ads_keyword_library,no,,,,,,,,Treat as brand/conversion page; use a small set of core or brand terms.,H2 未命中关键词,أنظمة الطائرات بدون طيار الصناعية لعمليات الارتفاع المنخفض | N-TET,"أنظمة UAV صناعية هو موضوع البحث الرئيسي لهذه الصفحة، مع تغطية مرتبطة بـ أنظمة الطائرات بدون طيار الصناعية, مراقبة الارتفاعات المنخفضة, طائرة UAV للتفتيش.",.next/server/app/ar.html
/ar/about,ar,/en/about,brand,normal,partial,70,مكامل أنظمة UAV الصناعية,4,مكامل أنظمة UAV الصناعية | مزود أنظمة UAV | مزود حلول مراقبة الارتفاع المنخفض | مكامل تقنيات الأمن,true,false,true,false,true,0.060,not_mapped_to_ads_keyword_library,no,,,,,,,,Treat as brand/conversion page; use a small set of core or brand terms.,description 未命中关键词; H2 未命中关键词,ملف مكامل أنظمة UAV الصناعية | N-TET,تركز N-TET على تكامل أنظمة UAV الصناعية وحلول مراقبة الارتفاعات المنخفضة وسير عمل التفتيش وتقنيات الفحص الميداني لمشغلي البنية التحتية.,.next/server/app/ar/about.html
/ar/accessories,ar,/en/accessories,accessory_index,normal,partial,60,ملحقات الطائرات بدون طيار,5,ملحقات الطائرات بدون طيار | مكونات UAV | حامل UAV | محرك UAV | رابط بيانات UAV,true,true,false,false,true,3.804,not_mapped_to_ads_keyword_library,no,,,,,,,,Manually decide whether keyword-library mapping is needed.,H1 未命中关键词; H2 未命中关键词; 关键词密度偏高，需要检查堆砌风险,ملحقات الطائرات بدون طيار ومكونات UAV | N-TET,"ملحقات الطائرات بدون طيار هو موضوع البحث الرئيسي لهذه الصفحة، مع تغطية مرتبطة بـ مكونات UAV, حامل UAV, محرك UAV.",.next/server/app/ar/accessories.html
/ar/accessories/fc-bt1,ar,/en/accessories/fc-bt1,accessory_detail,normal,strong,100,بطارية UAV صلبة FC-BT1,4,بطارية UAV صلبة FC-BT1 | drone accessories | UAV components | industrial UAV parts,true,true,true,true,true,0.561,keyword_library_hit_unplanned,yes,,,General Drone/UAV Broad,drone accessories | UAV components,cleaned_master,,,Add to keyword planning table and define primary landing page plus supporting terms.,,بطارية UAV صلبة FC-BT1 | N-TET Drone Accessories,يُستخدم بطارية UAV صلبة FC-BT1 في التفتيش الميداني والصيانة، مع دعم تكامل مكونات UAV ودعم المنصات وتنسيق فرق التشغيل حسب متطلبات الموقع. يساعد الحل على جمع المعلومات، وتوثيق الأحداث، وتحويل بيانات المراقبة إلى إجراءات قابلة للمراجعة دون كشف,.next/server/app/ar/accessories/fc-bt1.html
/ar/accessories/fc-bt2,ar,/en/accessories/fc-bt2,accessory_detail,normal,strong,100,بطارية UAV صلبة FC-BT2,4,بطارية UAV صلبة FC-BT2 | drone accessories | UAV components | industrial UAV parts,true,true,true,true,true,0.601,keyword_library_hit_unplanned,yes,,,General Drone/UAV Broad,drone accessories | UAV components,cleaned_master,,,Add to keyword planning table and define primary landing page plus supporting terms.,,بطارية UAV صلبة FC-BT2 | N-TET Drone Accessories,يُستخدم بطارية UAV صلبة FC-BT2 في التفتيش الميداني والصيانة، مع دعم مراقبة المجال الجوي وتوثيق الأحداث وتنسيق فرق التشغيل حسب متطلبات الموقع. يساعد الحل على جمع المعلومات، وتوثيق الأحداث، وتحويل بيانات المراقبة إلى إجراءات قابلة للمراجعة دو,.next/server/app/ar/accessories/fc-bt2.html
/ar/accessories/fc-bt3,ar,/en/accessories/fc-bt3,accessory_detail,normal,strong,100,بطارية UAV صلبة عالية الجهد FC-BT3,4,بطارية UAV صلبة عالية الجهد FC-BT3 | drone accessories | UAV components | industrial UAV parts,true,true,true,true,true,0.679,keyword_library_hit_unplanned,yes,,,General Drone/UAV Broad,drone accessories | UAV components,cleaned_master,,,Add to keyword planning table and define primary landing page plus supporting terms.,,بطارية UAV صلبة عالية الجهد FC-BT3 | N-TET Drone Accessories,يُستخدم بطارية UAV صلبة عالية الجهد FC-BT3 في تشغيل مرافق الطاقة والبنية التحتية، مع دعم تكامل مكونات UAV ودعم المنصات وتنسيق فرق التشغيل حسب متطلبات الموقع. يساعد الحل على جمع المعلومات، وتوثيق الأحداث، وتحويل بيانات المراقبة إلى إجراءات ق,.next/server/app/ar/accessories/fc-bt3.html
/ar/accessories/fc-bt4,ar,/en/accessories/fc-bt4,accessory_detail,normal,strong,100,بطارية UAV صلبة عالية الطاقة FC-BT4,4,بطارية UAV صلبة عالية الطاقة FC-BT4 | drone accessories | UAV components | industrial UAV parts,true,true,true,true,true,0.457,keyword_library_hit_unplanned,yes,,,General Drone/UAV Broad,drone accessories | UAV components,cleaned_master,,,Add to keyword planning table and define primary landing page plus supporting terms.,,بطارية UAV صلبة عالية الطاقة FC-BT4 | N-TET Drone Accessories,يُستخدم بطارية UAV صلبة عالية الطاقة FC-BT4 في مراقبة المجال الجوي وتوثيق الأحداث، مع دعم الفحص الأمني وإدارة المواقع الحيوية وتنسيق فرق التشغيل حسب متطلبات الموقع. يساعد الحل على جمع المعلومات، وتوثيق الأحداث، وتحويل بيانات المراقبة إلى إج,.next/server/app/ar/accessories/fc-bt4.html
/ar/accessories/fc-btg,ar,/en/accessories/fc-btg,accessory_detail,normal,strong,100,بطارية UAV تدريبية صلبة FC-BTG,4,بطارية UAV تدريبية صلبة FC-BTG | drone accessories | UAV components | industrial UAV parts,true,true,true,true,true,0.648,keyword_library_hit_unplanned,yes,,,General Drone/UAV Broad,drone accessories | UAV components,cleaned_master,,,Add to keyword planning table and define primary landing page plus supporting terms.,,بطارية UAV تدريبية صلبة FC-BTG | N-TET Drone Accessories,يُستخدم بطارية UAV تدريبية صلبة FC-BTG في تشغيل مرافق الطاقة والبنية التحتية، مع دعم تكامل مكونات UAV ودعم المنصات وتنسيق فرق التشغيل حسب متطلبات الموقع. يساعد الحل على جمع المعلومات، وتوثيق الأحداث، وتحويل بيانات المراقبة إلى إجراءات قابلة,.next/server/app/ar/accessories/fc-btg.html
/ar/accessories/fc-c2d-propeller,ar,/en/accessories/fc-c2d-propeller,accessory_detail,normal,strong,100,مروحة UAV FC-C2D,4,مروحة UAV FC-C2D | drone accessories | UAV components | industrial UAV parts,true,true,true,true,true,0.650,keyword_library_hit_unplanned,yes,,,General Drone/UAV Broad,drone accessories | UAV components,cleaned_master,,,Add to keyword planning table and define primary landing page plus supporting terms.,,مروحة UAV FC-C2D | N-TET Drone Accessories,يُستخدم مروحة UAV FC-C2D في تكامل مكونات UAV ودعم المنصات، مع دعم التحقق الميداني وتنسيق فرق التشغيل حسب متطلبات الموقع. يساعد الحل على جمع المعلومات، وتوثيق الأحداث، وتحويل بيانات المراقبة إلى إجراءات قابلة للمراجعة دون كشف تفاصيل تشغيلية,.next/server/app/ar/accessories/fc-c2d-propeller.html
/ar/accessories/fc-c2e-propeller,ar,/en/accessories/fc-c2e-propeller,accessory_detail,normal,strong,100,مروحة UAV FC-C2E,4,مروحة UAV FC-C2E | drone accessories | UAV components | industrial UAV parts,true,true,true,true,true,0.691,keyword_library_hit_unplanned,yes,,,General Drone/UAV Broad,drone accessories | UAV components,cleaned_master,,,Add to keyword planning table and define primary landing page plus supporting terms.,,مروحة UAV FC-C2E | N-TET Drone Accessories,يُستخدم مروحة UAV FC-C2E في تكامل مكونات UAV ودعم المنصات، مع دعم التحقق الميداني وتنسيق فرق التشغيل حسب متطلبات الموقع. يساعد الحل على جمع المعلومات، وتوثيق الأحداث، وتحويل بيانات المراقبة إلى إجراءات قابلة للمراجعة دون كشف تفاصيل تشغيلية,.next/server/app/ar/accessories/fc-c2e-propeller.html
/ar/accessories/fc-c2t-propeller,ar,/en/accessories/fc-c2t-propeller,accessory_detail,normal,strong,100,مروحة UAV FC-C2T,4,مروحة UAV FC-C2T | drone accessories | UAV components | industrial UAV parts,true,true,true,true,true,0.653,keyword_library_hit_unplanned,yes,,,General Drone/UAV Broad,drone accessories | UAV components,cleaned_master,,,Add to keyword planning table and define primary landing page plus supporting terms.,,مروحة UAV FC-C2T | N-TET Drone Accessories,يُستخدم مروحة UAV FC-C2T في تكامل مكونات UAV ودعم المنصات، مع دعم التحقق الميداني وتنسيق فرق التشغيل حسب متطلبات الموقع. يساعد الحل على جمع المعلومات، وتوثيق الأحداث، وتحويل بيانات المراقبة إلى إجراءات قابلة للمراجعة دون كشف تفاصيل تشغيلية,.next/server/app/ar/accessories/fc-c2t-propeller.html
/ar/accessories/fc-c2u-propeller,ar,/en/accessories/fc-c2u-propeller,accessory_detail,normal,strong,100,مروحة UAV FC-C2U,4,مروحة UAV FC-C2U | drone accessories | UAV components | industrial UAV parts,true,true,true,true,true,0.653,keyword_library_hit_unplanned,yes,,,General Drone/UAV Broad,drone accessories | UAV components,cleaned_master,,,Add to keyword planning table and define primary landing page plus supporting terms.,,مروحة UAV FC-C2U | N-TET Drone Accessories,يُستخدم مروحة UAV FC-C2U في تكامل مكونات UAV ودعم المنصات، مع دعم التحقق الميداني وتنسيق فرق التشغيل حسب متطلبات الموقع. يساعد الحل على جمع المعلومات، وتوثيق الأحداث، وتحويل بيانات المراقبة إلى إجراءات قابلة للمراجعة دون كشف تفاصيل تشغيلية,.next/server/app/ar/accessories/fc-c2u-propeller.html
/ar/accessories/fc-c2ud-propeller,ar,/en/accessories/fc-c2ud-propeller,accessory_detail,normal,strong,100,مروحة UAV FC-C2UD,4,مروحة UAV FC-C2UD | drone accessories | UAV components | industrial UAV parts,true,true,true,true,true,0.650,keyword_library_hit_unplanned,yes,,,General Drone/UAV Broad,drone accessories | UAV components,cleaned_master,,,Add to keyword planning table and define primary landing page plus supporting terms.,,مروحة UAV FC-C2UD | N-TET Drone Accessories,يُستخدم مروحة UAV FC-C2UD في تكامل مكونات UAV ودعم المنصات، مع دعم التحقق الميداني وتنسيق فرق التشغيل حسب متطلبات الموقع. يساعد الحل على جمع المعلومات، وتوثيق الأحداث، وتحويل بيانات المراقبة إلى إجراءات قابلة للمراجعة دون كشف تفاصيل تشغيلية,.next/server/app/ar/accessories/fc-c2ud-propeller.html
/ar/accessories/fc-fdj-111,ar,/en/accessories/fc-fdj-111,accessory_detail,normal,strong,100,محرك UAV FC-FDJ-111,4,محرك UAV FC-FDJ-111 | drone accessories | UAV components | industrial UAV parts,true,true,true,true,true,0.783,keyword_library_hit_unplanned,yes,,,General Drone/UAV Broad,drone accessories | UAV components,cleaned_master,,,Add to keyword planning table and define primary landing page plus supporting terms.,,محرك UAV FC-FDJ-111 | N-TET Drone Accessories,يُستخدم محرك UAV FC-FDJ-111 في مراقبة المجال الجوي وتوثيق الأحداث، مع دعم تشغيل مرافق الطاقة والبنية التحتية وتنسيق فرق التشغيل حسب متطلبات الموقع. يساعد الحل على جمع المعلومات، وتوثيق الأحداث، وتحويل بيانات المراقبة إلى إجراءات قابلة للمرا,.next/server/app/ar/accessories/fc-fdj-111.html
/ar/accessories/fc-fdj-120,ar,/en/accessories/fc-fdj-120,accessory_detail,normal,strong,100,محرك UAV FC-FDJ-120,4,محرك UAV FC-FDJ-120 | drone accessories | UAV components | industrial UAV parts,true,true,true,true,true,0.784,keyword_library_hit_unplanned,yes,,,General Drone/UAV Broad,drone accessories | UAV components,cleaned_master,,,Add to keyword planning table and define primary landing page plus supporting terms.,,محرك UAV FC-FDJ-120 | N-TET Drone Accessories,يُستخدم محرك UAV FC-FDJ-120 في مراقبة المجال الجوي وتوثيق الأحداث، مع دعم تشغيل مرافق الطاقة والبنية التحتية وتنسيق فرق التشغيل حسب متطلبات الموقع. يساعد الحل على جمع المعلومات، وتوثيق الأحداث، وتحويل بيانات المراقبة إلى إجراءات قابلة للمرا,.next/server/app/ar/accessories/fc-fdj-120.html
/ar/accessories/fc-fdj-120hd,ar,/en/accessories/fc-fdj-120hd,accessory_detail,normal,strong,100,محرك UAV FC-FDJ-120HD,4,محرك UAV FC-FDJ-120HD | drone accessories | UAV components | industrial UAV parts,true,true,true,true,true,0.798,keyword_library_hit_unplanned,yes,,,General Drone/UAV Broad,drone accessories | UAV components,cleaned_master,,,Add to keyword planning table and define primary landing page plus supporting terms.,,محرك UAV FC-FDJ-120HD | N-TET Drone Accessories,يُستخدم محرك UAV FC-FDJ-120HD في مراقبة المجال الجوي وتوثيق الأحداث، مع دعم تشغيل مرافق الطاقة والبنية التحتية وتنسيق فرق التشغيل حسب متطلبات الموقع. يساعد الحل على جمع المعلومات، وتوثيق الأحداث، وتحويل بيانات المراقبة إلى إجراءات قابلة للم,.next/server/app/ar/accessories/fc-fdj-120hd.html
/ar/accessories/fc-fdj-170,ar,/en/accessories/fc-fdj-170,accessory_detail,normal,strong,100,محرك UAV FC-FDJ-170,4,محرك UAV FC-FDJ-170 | drone accessories | UAV components | industrial UAV parts,true,true,true,true,true,0.789,keyword_library_hit_unplanned,yes,,,General Drone/UAV Broad,drone accessories | UAV components,cleaned_master,,,Add to keyword planning table and define primary landing page plus supporting terms.,,محرك UAV FC-FDJ-170 | N-TET Drone Accessories,يُستخدم محرك UAV FC-FDJ-170 في مراقبة المجال الجوي وتوثيق الأحداث، مع دعم تشغيل مرافق الطاقة والبنية التحتية وتنسيق فرق التشغيل حسب متطلبات الموقع. يساعد الحل على جمع المعلومات، وتوثيق الأحداث، وتحويل بيانات المراقبة إلى إجراءات قابلة للمرا,.next/server/app/ar/accessories/fc-fdj-170.html
/ar/accessories/fc-fdj-200,ar,/en/accessories/fc-fdj-200,accessory_detail,normal,strong,100,محرك UAV FC-FDJ-200,4,محرك UAV FC-FDJ-200 | drone accessories | UAV components | industrial UAV parts,true,true,true,true,true,0.805,keyword_library_hit_unplanned,yes,,,General Drone/UAV Broad,drone accessories | UAV components,cleaned_master,,,Add to keyword planning table and define primary landing page plus supporting terms.,,محرك UAV FC-FDJ-200 | N-TET Drone Accessories,يُستخدم محرك UAV FC-FDJ-200 في مراقبة المجال الجوي وتوثيق الأحداث، مع دعم تشغيل مرافق الطاقة والبنية التحتية وتنسيق فرق التشغيل حسب متطلبات الموقع. يساعد الحل على جمع المعلومات، وتوثيق الأحداث، وتحويل بيانات المراقبة إلى إجراءات قابلة للمرا,.next/server/app/ar/accessories/fc-fdj-200.html
/ar/accessories/fc-fdj-222,ar,/en/accessories/fc-fdj-222,accessory_detail,normal,strong,100,محرك UAV FC-FDJ-222,4,محرك UAV FC-FDJ-222 | drone accessories | UAV components | industrial UAV parts,true,true,true,true,true,0.786,keyword_library_hit_unplanned,yes,,,General Drone/UAV Broad,drone accessories | UAV components,cleaned_master,,,Add to keyword planning table and define primary landing page plus supporting terms.,,محرك UAV FC-FDJ-222 | N-TET Drone Accessories,يُستخدم محرك UAV FC-FDJ-222 في مراقبة المجال الجوي وتوثيق الأحداث، مع دعم تشغيل مرافق الطاقة والبنية التحتية وتنسيق فرق التشغيل حسب متطلبات الموقع. يساعد الحل على جمع المعلومات، وتوثيق الأحداث، وتحويل بيانات المراقبة إلى إجراءات قابلة للمرا,.next/server/app/ar/accessories/fc-fdj-222.html
